quantity,company,product,size,expiry_date,barcode,reference_id,ref_id_expiry_date
5,Boston Scientific,AngioJet AVX (OTW) Thrombectomy Set,50-6F,09-16-2024,0108714729889045172409161031084256,105039-001,105039-001***09-16-2024
1,Boston Scientific,AngioJet Solent Dista (OTW) Thrombectomy Set,145-4F,01-29-2024,0108714729889731172401291029068556,111303-001,111303-001***01-29-2024
1,Boston Scientific,AngioJet Solent Dista (OTW) Thrombectomy Set,145-4F,02-07-2024,0108714729889731172402071029130324,111303-001,111303-001***02-07-2024
1,Boston Scientific,AngioJet Solent Omni (OTW) Thrombectomy Set,120-6F,01-11-2024,0108714729889663172401111028998410,109681-001,109681-001***01-11-2024
1,Boston Scientific,AngioJet Solent Omni (OTW) Thrombectomy Set,120-6F,03-20-2024,0108714729889663172403201029365692,109681-001,109681-001***03-20-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-100-135,06-08-2024,0108714729804154172406081027458840,H74939206051010,H74939206051010***06-08-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-40-135,06-16-2024,0108714729804529172406161027512395,H74939206070410,H74939206070410***06-16-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-100-135,06-21-2024,0108714729804017172406211027538125,H74939206041010,H74939206041010***06-21-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-150-135,06-23-2024,0108714729804185172406231027553867,H74939206051510,H74939206051510***06-23-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-80-135,06-28-2024,0108714729804130172406281027580471,H74939206040810,H74939206040810***06-28-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-60-135,07-01-2024,0108714729825128172407011027599651,H74939206040610,H74939206040610***07-01-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-200-135,07-01-2024,0108714729804086172407011027599666,H74939206042010,H74939206042010***07-01-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-100-135,07-05-2024,0108714729804291172407051027615328,H74939206061010,H74939206061010***07-05-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-40-75,07-07-2024,0108714729804390172407071027630595,H74939206060470,H74939206060470***07-07-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-200-135,07-20-2024,0108714729804369172407201027706926,H74939206062010,H74939206062010***07-20-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-40-75,07-20-2024,0108714729804536172407201027706956,H74939206070470,H74939206070470***07-20-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-40-135,08-04-2024,0108714729804246172408041027786119,H74939206050410,H74939206050410***08-04-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),9-40-75,08-05-2024,0108714729804758172408051027789820,H74939206090470,H74939206090470***08-05-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-40-135,08-10-2024,0108714729804130172406281027580471,H74939206040410,H74939206040410***08-10-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-40-135,08-10-2024,0108714729804383172408101027815540,H74939206060410,H74939206060410***08-10-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-80-135,08-10-2024,0108714729804413172408101027815554,H74939206060810,H74939206060810***08-10-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-150-135,08-10-2024,0108714729804321172408101027815567,H74939206061510,H74939206061510***08-10-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),4-150-135,08-11-2024,0108714729804048172408111027823352,H74939206041510,H74939206041510***08-11-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-200-135,08-11-2024,0108714729804222172408111027823371,H74939206052010,H74939206052010***08-11-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),10-40-75,08-12-2024,0108714729803799172408121027830687,H74939206100470,H74939206100470***08-12-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-60-135,08-16-2024,0108714729825241172408161027849698,H74939206050610,H74939206050610***08-16-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-40-75,08-17-2024,0108714729804253172408171027857705,H74939206050470,H74939206050470***08-17-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-80-135,08-18-2024,0108714729804550172408181027865379,H74939206070810,H74939206070810***08-18-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),8-40-75,08-22-2024,0108714729804673172408221027885208,H74939206080470,H74939206080470***08-22-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-100-135,08-24-2024,0108714729804437172408241027900917,H74939206071010,H74939206071010***08-24-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-200-135,08-24-2024,0108714729804505172408241027900921,H74939206072010,H74939206072010***08-24-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-150-135,09-13-2024,0108714729804468172409131028013604,H74939206071510,H74939206071510***09-13-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),7-60-135,10-31-2024,0108714729825500172410311028300865,H74939206070610,H74939206070610***10-31-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),5-80-135,11-28-2024,0108714729804277172411281028460417,H74939206050810,H74939206050810***11-28-2024
1,Boston Scientific,Charger PTA Balloon Dilatation Catheter (035),6-60-135,12-15-2024,0108714729825371172412151028559853,H74939206060610,H74939206060610***12-15-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),3.5-100-150,08-05-2024,0108714729796992172408051027790563,H74939185351010,H74939185351010***08-05-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),3.5-150-150,08-26-2024,0108714729797029172408261027902139,H74939185351510,H74939185351510***08-26-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),2.5-150-150,09-26-2024,0108714729796886172409261028095316,H74939185251510,H74939185251510***09-26-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),3-100-150,10-05-2024,0108714729796282172410051028152872,H74939185301010,H74939185301010***10-05-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),4-100-150,10-11-2024,0108714729797067172410111028184525,H74939185401010,H74939185401010***10-11-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),2-100-150,11-14-2024,0108714729796787172411141028384624,H74939185201010,H74939185201010***11-14-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),3-220-150,12-21-2024,0108714729796961172412211028603104,H74939185302210,H74939185302210***12-21-2024
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),3.5-220-150,01-05-2025,0108714729797036172501051028634180,H74939185352210,H74939185352210***01-05-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),2-150-150,01-18-2025,0108714729796800172501181028704841,H74939185201510,H74939185201510***01-18-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),2-220-150,01-19-2025,0108714729796817172501191028712939,H74939185202210,H74939185202210***01-19-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),4-150-150,01-19-2025,0108714729797098172501191028715510,H74939185401510,H74939185401510***01-19-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),4-220-150,01-19-2025,(not present),H74939185402210,H74939185402210***01-19-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),3-150-150,01-30-2025,0108714729796947172501301028775791,H74939185301510,H74939185301510***01-30-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),2.5-100-150,02-10-2025,0108714729796862172502101028851143,H74939185251010,H74939185251010***02-10-2025
1,Boston Scientific,Coyote Monorail PTA Balloon Dilatation Catheter 4F (014),2.5-220-150,03-13-2025,0108714729796893172503131029036553,H74939185252210,H74939185252210***03-13-2025
1,Boston Scientific,Epic Vascular (OTW) Self-Expanding Stent System (035),10-60-120,07-01-2025,0108714729805045172507011026956037,H74939200106020,H74939200106020***07-01-2025
1,Boston Scientific,Epic Vascular (OTW) Self-Expanding Stent System (035),9-40-120,11-30-2026,0108714729805786172611301028481473,H74939200094020,H74939200094020***11-30-2026
1,Boston Scientific,Epic Vascular (OTW) Self-Expanding Stent System (035),9-60-120,02-03-2027,0108714729805823172702031028808138,H74939200096020,H74939200096020***02-03-2027
1,Boston Scientific,Epic Vascular (OTW) Self-Expanding Stent System (035),12-40-120,02-07-2027,0108714729805144172702071028826417,H74939200124020,H74939200124020***02-07-2027
1,Boston Scientific,Epic Vascular (OTW) Self-Expanding Stent System (035),12-60-120,02-24-2027,0108714729805182172702241028938899,H74939200126020,H74939200126020***02-24-2027
1,Boston Scientific,Epic Vascular (OTW) Self-Expanding Stent System (035),10-40-120,03-06-2027,0108714729805007172703061028998246,H74939200104020,H74939200104020***03-06-2027
2,Boston Scientific,Express LD Iliac/Biliary (OTW) Premounted Stent System 6F-7F (035),8-57-75,10-04-2024,0108714729392293172410041028146914,H74938046860750,H74938046860750***10-04-2024
2,Boston Scientific,Express LD Iliac/Biliary (OTW) Premounted Stent System 6F-7F (035),7-37-75,10-21-2024,0108714729392217172410211028250864,H74938046740750,H74938046740750***10-21-2024
2,Boston Scientific,Express LD Iliac/Biliary (OTW) Premounted Stent System 6F-7F (035),7-57-75,10-27-2024,0108714729392231172410271028288306,H74938046760750,H74938046760750***10-27-2024
2,Boston Scientific,Express LD Iliac/Biliary (OTW) Premounted Stent System 6F-7F (035),8-37-75,10-27-2024,0108714729392279172410271028283756,H74938046840750,H74938046840750***10-27-2024
2,Boston Scientific,Express LD Iliac/Biliary (OTW) Premounted Stent System 6F-7F (035),9-37-75,11-07-2024,0108714729392330172411071028350923,H74938046940750,H74938046940750***11-07-2024
2,Boston Scientific,Express LD Iliac/Biliary (OTW) Premounted Stent System 6F-7F (035),9-57-75,11-08-2024,0108714729392354172411081028354933,H74938046960750,H74938046960750***11-08-2024
1,Boston Scientific,Express SD Renal/Biliary (Monorail) Premounted Stent System 5F (018),6-14-0150,12-26-2024,0108714729484820172412261028608735,H74937911614150,H74937911614150***12-26-2024
1,Boston Scientific,Express SD Renal/Biliary (Monorail) Premounted Stent System 5F (018),6-18-0150,12-26-2024,0108714729484844172412261028608732,H74937912618150,H74937912618150***12-26-2024
1,Boston Scientific,Express SD Renal/Biliary (Monorail) Premounted Stent System 5F (018),5-15-0150,01-17-2025,0108714729390398172501171028700483,H74937911515150,H74937911515150***01-17-2025
1,Boston Scientific,Express SD Renal/Biliary (Monorail) Premounted Stent System 5F (018),5-19-0150,01-18-2025,0108714729390473172501181028704854,H74937912519150,H74937912519150***01-18-2025
1,Boston Scientific,Express SD Renal/Biliary (Monorail) Premounted Stent System 5F (018),4-15-0150,10-11-2025,0108714729390374172501111028668772,H74937911415150,H74937911415150***10-11-2025
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),7-100-130,10-26-2024,0108714729874119172410261029136587,H74939293071030,H74939293071030***10-26-2024
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),8-20-0130,10-25-2026,0108714729874164172610251028260619,H74939293080230,H74939293080230***10-25-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),5-80-130,11-01-2026,0108714729873921172611011028309663,H74939293058030,H74939293058030***11-01-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),8-60-130,11-01-2026,0108714729874188172611011028309652,H74939293086030,H74939293086030***11-01-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),8-40-130,12-02-2026,0108714729874171172612021028492476,H74939293084030,H74939293084030***12-02-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),5-120-130,12-05-2026,0108714729873945172612051028506001,H74939293051230,H74939293051230***12-05-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),6-120-130,12-12-2026,0108714729874034172612121028544849,H74939293061230,H74939293061230***12-12-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),5-100-130,12-19-2026,0108714729873938172612191028585529,H74939293051030,H74939293051030***12-19-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),6-100-130,12-20-2026,0108714729874027172612201028592571,H74939293061030,H74939293061030***12-20-2026
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),7-150-130,01-17-2027,0108714729874133172701171028696845,H74939293071530,H74939293071530***01-17-2027
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),5-150-130,01-23-2027,0108714729873952172701231028731779,H74939293051530,H74939293051530***01-23-2027
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),6-150-130,01-27-2027,0108714729874041172701271028770193,H74939293061530,H74939293061530***01-27-2027
2,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),6-120-130,05-02-2027,0108714729874034172705021029294653,H74939293061230,H74939293061230***05-02-2027
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),6-100-130,05-08-2027,0108714729874027172705081029360003,H74939293061030,H74939293061030***05-08-2027
1,Boston Scientific,Innova Vascular (OTW) Self-Expanding Stent System (035),6-80-130,06-01-2027,0108714729874010172706011029515777,H74939293068030,H74939293068030***06-01-2027
2,Boston Scientific,Jetstream XC (OTW) Atherectomy Catheter,2.1/3.0 - 7F - 135,02-27-2024,0108714729889892172402271029126883,PV31300,PV31300***02-27-2024
4,Boston Scientific,Jetstream XC (OTW) Atherectomy Catheter,2.1/3.0 - 7F - 135,06-18-2024,0108714729889892172406181029789192,PV31300,PV31300***06-18-2024
21,Boston Scientific,Jetstream XC (OTW) Atherectomy Catheter,2.1/3.0 - 7F - 135,01-15-2025,0108714729889892172501151031056237,PV31300,PV31300***01-15-2025
1,Boston Scientific,MDU5 PLUS Sterile Bag,-,05-01-2024,01087147298422551724050110D211378,H749MDU5PLUSBAG0,H749MDU5PLUSBAG0***05-01-2024
2,Boston Scientific,MDU5 PLUS Sterile Bag,-,01-01-2025,01087147298422551725010110D220098,H749MDU5PLUSBAG0,H749MDU5PLUSBAG0***01-01-2025
34,Boston Scientific,OptiCross 18 30MHz Peripheral Imaging Catheter (018),3.6F-135,11-21-2024,0108714729904366172411211030581706,H7493932800180,H7493932800180***11-21-2024
12,Boston Scientific,OptiCross 18 30MHz Peripheral Imaging Catheter (018),3.6F-135,12-21-2024,0108714729904366172412211030756414,H7493932800180,H7493932800180***12-21-2024
2,Boston Scientific,OptiCross 18 30MHz Peripheral Imaging Catheter (018),3.6F-135,03-03-2025,0108714729904366172503031031164303,H7493932800180,H7493932800180***03-03-2025
9,Boston Scientific,OptiCross 35 15MHz (OTW) Peripheral Imaging Catheter,8F-105,02-14-2025,0108714729984542172502141031788072,H7493932800350,H7493932800350***02-14-2025
14,Boston Scientific,Peripheral RotaLink Plus Pre-Connected Exchangeable Burr Catheter and Burr Advancing Device,1.50 mm,01-15-2025,"0108714729838906172501151030857295
0108714729838906172501151030857296",M0011401500,M0011401500***01-15-2025
13,Boston Scientific,Peripheral RotaWire and wireClip Torquer (Extra Support) Guidewire and Guidewire Manipulation Device,0.009in-330cm,11-21-2024,0108714729863649172411211030584072,M0011373321,M0011373321***11-21-2024
1,Boston Scientific,Sterling (Monorail) PTA Balloon Dilatation Catheter 4F (018),4-60-135,12-19-2024,0108714729757016172412191028590231,H74939031406010,H74939031406010***12-19-2024
1,Boston Scientific,Sterling (Monorail) PTA Balloon Dilatation Catheter 4F (018),2.5-40-150,01-09-2025,0108714729859161172501091028656228,H74939031254010,H74939031254010***01-09-2025
1,Boston Scientific,Sterling (Monorail) PTA Balloon Dilatation Catheter 4F (018),2.5-60-150,02-02-2025,0108714729859161172501091028656228,H74939031256010,H74939031256010***02-02-2025
1,Boston Scientific,Sterling (Monorail) PTA Balloon Dilatation Catheter 4F (018),2-40-150,02-07-2025,0108714729859086172502071028826054,H74939031204010,H74939031204010***02-07-2025
1,Boston Scientific,Sterling (Monorail) PTA Balloon Dilatation Catheter 4F (018),2-60-150,03-31-2025,0108714729859109172503311029153562,H74939031206010,H74939031206010***03-31-2025
1,Boston Scientific,Sterling (Monorail) PTA Balloon Dilatation Catheter 4F (018),4-40-135,04-06-2025,0108714729756996172504061029190329,H74939031404010,H74939031404010***04-06-2025
1,Boston Scientific,Sterling (OTW) PTA Balloon Dilatation Catheter 4F-5F-6F (018),3.5-60-150,02-06-2025,0108714729860259172502061028817212,H74939032350610,H74939032350610***02-06-2025
1,Boston Scientific,Sterling (OTW) PTA Balloon Dilatation Catheter 4F-5F-6F (018),3.5-220-150,02-16-2025,0108714729860273172502161028892581,H74939032352210,H74939032352210***02-16-2025
1,Boston Scientific,Sterling (OTW) PTA Balloon Dilatation Catheter 4F-5F-6F (018),4-80-135,02-21-2025,0108714729123668172502211028920177,H74939032408010,H74939032408010***02-21-2025
